Game_ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Weighted
5319,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0.00,0.09,1.95,93.00,58.00,8.60,118,Rockstar North,AO,10518.3
10204,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,93.00,85.00,8.30,280,Rockstar Leeds,M,10434.6
2386,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,94.00,37.00,8.50,466,Capcom,M,10399.22
4543,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,0.82,0.59,0.00,0.07,1.48,93.00,74.00,8.60,68,Ubisoft Shanghai,T,10185.36
8745,Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.59,85.00,75.00,6.70,288,Ubisoft Montreal,M,10136.25
12876,Saints Row: The Third,PS3,2011,Action,THQ,0.86,1.04,0.18,0.38,2.47,82.00,50.00,7.70,384,Volition Inc.,M,10127
4549,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.20,0.07,0.04,1.23,91.00,89.00,8.80,152,Team Ninja,M,9961.77
14500,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.90,1.11,0.01,0.29,3.30,86.00,35.00,7.90,701,Ubisoft,M,9933
8748,Dead Space,X360,2008,Action,Electronic Arts,0.89,0.39,0.00,0.13,1.40,89.00,79.00,8.70,768,EA Redwood Shores,M,9843.4
3727,True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27,77.00,39.00,8.00,94,"Luxoflux, Inc.",M,9819.81
11638,Just Cause 2,X360,2010,Action,Square Enix,0.59,0.83,0.02,0.17,1.60,81.00,74.00,8.00,267,Avalanche Studios,M,9590.4
11636,Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.92,0.06,0.32,1.75,83.00,66.00,8.00,291,Avalanche Studios,M,9586.5
8736,Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0.00,0.29,3.04,75.00,42.00,7.40,32,"Luxoflux, Inc.",E10+,9576
2385,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.10,3.60,78.00,34.00,8.50,161,Nintendo,E,9547.2
11627,NBA 2K11,X360,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,89.00,50.00,8.10,100,Visual Concepts,E,9300.5
11640,Mafia II,X360,2010,Action,Take-Two Interactive,0.85,0.55,0.00,0.15,1.55,74.00,79.00,7.80,458,2K Czech,M,9061.3
3733,Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0.00,0.31,2.22,92.00,44.00,8.80,204,Ubisoft,T,8986.56
15619,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.00,58.00,7.90,1287,Techland,M,8970.28
11642,Dead Rising 2,X360,2010,Action,Capcom,0.75,0.52,0.09,0.12,1.49,79.00,76.00,6.90,216,Blue Castle Games,M,8945.96
15057,The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.00,65.00,7.30,1223,Tango Gameworks,M,8726.25
3726,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.50,1.28,0.05,0.46,3.28,85.00,31.00,8.70,105,EA Games,T,8642.8
2877,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.00,25.00,7.90,41,Treyarch,E,8512
10206,[Prototype],X360,2009,Action,Activision,0.84,0.35,0.00,0.12,1.31,78.00,83.00,7.80,356,Radical Entertainment,M,8480.94
14519,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.00,69.00,6.80,908,Capcom Vancouver,M,8449.74
13810,Dishonored,X360,2012,Action,Bethesda Softworks,1.06,0.50,0.01,0.14,1.71,88.00,56.00,7.90,815,Arkane Studios,M,8426.88
7428,Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.72,0.06,0.29,1.65,79.00,64.00,8.30,544,Ninja Theory,T,8342.4
8746,Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.45,0.34,0.20,1.57,84.00,63.00,8.20,311,Capcom,M,8308.44
16219,Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.00,0.18,1.13,83.00,88.00,7.80,621,Ubisoft Montreal,M,8253.52
16216,Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.00,66.00,5.10,1147,Hangar 13,M,8123.28
12892,Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84.00,72.00,7.50,533,Crytek,M,8104.32
14504,Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.80,0.04,0.38,2.29,76.00,46.00,7.70,668,WB Games Montreal,T,8005.84
5329,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.20,0.13,1.14,91.00,77.00,9.10,933,SCE Japan Studio,T,7987.98
13822,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.00,75.00,8.70,487,"Opus, Project Sora",E10+,7905.75
13812,LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.90,0.61,0.00,0.15,1.66,79.00,59.00,7.20,114,TT Games,E10+,7737.26
2881,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.10,2.70,95.00,30.00,9.10,314,Capcom,E,7695
7417,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.00,0.51,5.64,80.00,17.00,8.90,62,Traveller's Tales,E10+,7670.4
15066,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.10,1.23,76.00,81.00,8.30,662,Omega Force,T,7571.88
11647,Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.10,1.34,79.00,71.00,6.50,482,Team Ninja,T,7516.06
15049,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.00,0.47,5.48,97.00,14.00,7.90,764,Rockstar North,M,7441.84
8739,Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,1.01,0.85,0.00,0.35,2.21,71.00,47.00,6.60,233,LucasArts,T,7374.77
11635,NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.20,0.03,0.16,1.80,89.00,46.00,7.60,105,Visual Concepts,E,7369.2
10213,Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.06,90.00,77.00,7.30,146,Rockstar Leeds,M,7345.8
5331,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,0.68,0.38,0.00,0.05,1.11,94.00,70.00,9.00,160,Ubisoft Montreal,M,7303.8
6286,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,84.00,32.00,9.00,41,Traveller's Tales,E10+,7230.72
10222,Bayonetta,X360,2009,Action,Sega,0.51,0.25,0.09,0.08,0.93,90.00,86.00,8.00,597,PlatinumGames,M,7198.2
12879,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80.00,41.00,6.60,132,Konami,E,7183.2
11655,Darksiders,X360,2010,Action,THQ,0.67,0.28,0.01,0.10,1.06,83.00,81.00,7.90,292,Vigil Games,M,7126.38
11639,LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.46,0.00,0.14,1.55,79.00,58.00,8.00,62,Traveller's Tales,E10+,7102.1
4545,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.10,1.42,89.00,56.00,9.00,203,Flagship,E,7077.28
10216,Brutal Legend,X360,2009,Action,Electronic Arts,0.62,0.26,0.00,0.09,0.97,82.00,88.00,8.00,268,Double Fine Productions,M,6999.52
13809,Hitman: Absolution,X360,2012,Action,Square Enix,0.68,0.88,0.01,0.17,1.73,79.00,51.00,7.10,453,Io Interactive,M,6970.17
4541,Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0.00,0.22,1.64,83.00,51.00,8.50,120,Ubisoft Montreal,M,6942.12
14521,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.00,61.00,7.90,746,PlatinumGames,M,6929.6
8743,Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.68,82.00,50.00,7.90,135,Volition Inc.,M,6888
8751,Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84.00,61.00,8.00,248,Capcom,M,6866.16
14502,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83.00,29.00,7.80,1530,Ubisoft,M,6859.95
5317,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0.00,0.31,2.04,82.00,41.00,8.20,68,Ubisoft Montpellier,T,6858.48
11643,Mafia II,PS3,2010,Action,Take-Two Interactive,0.50,0.69,0.04,0.26,1.49,75.00,61.00,7.70,297,2K Czech,M,6816.75
10212,Yakuza 3,PS3,2009,Action,Sega,0.21,0.20,0.62,0.08,1.12,79.00,77.00,8.10,165,Ryu ga Gotoku Studios,M,6812.96
2888,Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68,92.00,44.00,9.10,200,Nintendo,E,6800.64
5314,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,60.00,34.00,7.20,82,Double Helix Games,T,6772.8
1279,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.00,13.00,9.20,364,Capcom,M,6733.74
15064,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.00,70.00,6.20,1311,Kojima Productions,M,6667.5
8747,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.00,69.00,7.10,71,Treyarch,T,6637.8
12878,Dead Island,PS3,2011,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71.00,41.00,6.60,405,Techland,M,6607.97
12898,Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.00,75.00,4.50,2380,BioWare,M,6576.75
14509,LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.79,0.00,0.19,2.22,80.00,37.00,7.60,127,TT Games,E10+,6571.2
13820,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.00,71.00,7.20,318,Ubisoft,M,6560.4
16220,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.30,0.08,0.09,1.03,86.00,74.00,8.40,329,"Tantalus Interactive, Tantatus, Nintendo",T,6554.92
4544,Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45,85.00,53.00,8.60,73,Capcom,M,6532.25
13844,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.90,88.00,82.00,8.30,818,CD Projekt Red Studio,M,6494.4
12903,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0.00,0.14,0.96,88.00,76.00,8.50,4378,CD Projekt Red Studio,M,6420.48
15625,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.00,0.09,1.17,96.00,57.00,7.90,3756,Rockstar North,M,6402.24
14513,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.00,0.17,1.88,74.00,46.00,7.50,685,WB Games Montreal,T,6399.52
13813,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.10,1.58,75.00,54.00,8.20,267,Square Enix,E10+,6399
14522,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0.00,0.13,1.38,60.00,77.00,6.10,1409,Crytek,M,6375.6
11657,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.00,86.00,73.00,8.40,255,Ready at Dawn,M,6278
12883,Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64.00,48.00,6.40,182,Black Box,T,6174.72
8768,Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.10,1.01,81.00,74.00,8.00,302,"Team Ninja, Tecmo",M,6053.94
